tack,back,pack
pact,tact,fact
rage,wage,page
wail,jail,nail
rain,main,gain
pair,fair,hair
bake,cake,fake
gale,sale,male
fall,tall,wall
malt,salt,halt
tame,game,lame
lamp,damp,ramp
band,sand,land
sane,pane,lane
gang,hang,rang
rank,tank,bank
cape,tape,gape
lard,hard,card
bare,care,dare
lark,hark,dark
part,dart,cart
hash,rash,sash
task,mask,cask
mass,lass,pass
mast,fast,last
bath,math,path
cave,save,pave
dawn,lawn,fawn
bead,read,lead
beak,weak,peak
deal,veal,real
seam,team,beam
mean,lean,dean
fear,gear,dear
heat,feat,neat
deck,neck,peck
feed,deed,reed
peek,meek,week
peel,keel,reel
seen,keen,teen
weep,peep,seep
beer,leer,deer
beet,feet,meet
well,sell,cell
melt,felt,pelt
tend,lend,mend
vent,sent,cent
pest,nest,best
dice,mice,rice
sick,wick,nick
tide,side,wide
fife,life,wife
sift,lift,gift
bike,like,pike
file,tile,mile
pill,mill,will
kilt,silt,tilt
dime,lime,mime
find,wind,kind
wine,mine,vine
ring,wing,king
mink,pink,link
hint,mint,lint
wipe,pipe,ripe
tire,dire,wire
hiss,miss,kiss
list,mist,fist
mite,bite,site
five,live,dive
goad,toad,road
coat,goat,boat
lock,mock,dock
node,code,rode
gold,cold,sold
mole,role,sole
bond,fond,pond
lone,tone,cone
song,long,gong
cook,book,look
pool,cool,fool
doom,loom,room
loon,moon,coon
goop,loop,hoop
boot,loot,root
hope,cope,dope
more,core,bore
fork,pork,cork
horn,corn,torn
hose,rose,nose
moss,toss,loss
post,most,host
gout,bout,pout
rove,cove,wove
town,gown,down
puff,muff,cuff
full,bull,pull
jump,bump,pump
rung,sung,lung
hunt,punt,bunt
pure,cure,sure
dust,must,gust
cute,mute,lute
